顧客名,業種,所在地,担当,契約ステータス,月額利用料(万円),導入日,最新接点日
株式会社ネクストリーフ,再生可能エネルギー,Saitama,田中 翼,提案中,16.0,,2025-10-14
株式会社ハルモニアシステムズ,製造業向けIoT,Kanagawa,佐藤 蓮,商談中,13.0,,2025-10-15
株式会社サンライト教育,教育サービス,Tokyo,佐藤 蓮,導入済み,18.0,2023-04-01,2025-10-14
株式会社テラリンク,物流DX,Aichi,鈴木 花,導入済み,12.5,2024-01-15,2025-10-14
株式会社Codesmith,ソフトウェア開発,Tokyo,山本 彩,導入済み,9.8,2022-11-20,2025-10-11
合同会社BrightWorks,クリエイティブ制作,Tokyo,佐藤 蓮,更新審議中,15.0,2023-07-05,2025-10-13
株式会社未来製造,製造業,Osaka,田中 翼,商談中,11.2,,2025-10-10
株式会社オービタルデザイン,広告代理,Tokyo,岡本 陸,失注フォロー,0.0,,2025-10-08
株式会社リバティプロジェクト,人材サービス,Fukuoka,山本 彩,商談中,14.0,,2025-10-09
合同会社クラフトラボ,飲食プロデュース,Kyoto,鈴木 花,導入済み,7.5,2024-06-30,2025-10-12
株式会社フューチャードリル,EdTech,Tokyo,田中 翼,提案準備中,10.5,,2025-10-12
MiraTech Labs,AIスタートアップ,Tokyo,山本 彩,新規リード,0.0,,2025-10-15
サステナリンク合同,環境コンサル,Chiba,山本 彩,フォロー中,0.0,,2025-10-15
